ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2562,2563,2563,2564,2562,2563,2563,2564,2562,2563,2563,2564
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  ซามัวตะวันตก,325.91,337.70,337.70,382.00,-8.03,3.62,3.62,13.12,0.00,0.00,0.00,0.00
  -  นามิเบีย,173.15,264.96,264.96,375.50,31.70,53.02,53.02,41.72,0.00,0.00,0.00,0.00
  -  ซิมบับเว,250.21,505.86,505.86,372.91,-48.10,102.17,102.17,-26.28,0.00,0.01,0.01,0.00
  -  ไลบีเรีย,"1,486.67",181.12,181.12,364.97,816.50,-87.82,-87.82,101.51,0.02,0.00,0.00,0.00
  -  แซมเบีย,374.82,220.13,220.13,362.85,-34.00,-41.27,-41.27,64.84,0.00,0.00,0.00,0.00
  -  ติมัวร์เลสเต้,275.25,111.06,111.06,359.17,-74.25,-59.65,-59.65,223.39,0.00,0.00,0.00,0.00
  -  อัฟกานิสถาน,379.37,480.21,480.21,331.14,-17.54,26.58,26.58,-31.04,0.00,0.01,0.01,0.00
  -  เซเชลส์,351.95,365.78,365.78,300.12,-12.37,3.93,3.93,-17.95,0.00,0.01,0.01,0.00
  -  ปาเลสไตน์,47.35,45.04,45.04,293.59,-61.73,-4.89,-4.89,551.85,0.00,0.00,0.00,0.00
  -  เซนต์ลูเซีย,240.15,177.79,177.79,287.83,-6.00,-25.97,-25.97,61.89,0.00,0.00,0.00,0.00
  -  เฮติ,206.77,103.22,103.22,287.61,-59.10,-50.08,-50.08,178.63,0.00,0.00,0.00,0.00
  -  อันดอร์รา,10.40,6.10,6.10,286.64,-20.33,-41.33,-41.33,"4,597.38",0.00,0.00,0.00,0.00
  -  มายอต,410.27,347.27,347.27,285.11,-12.27,-15.36,-15.36,-17.90,0.01,0.00,0.00,0.00
  -  แกมเบีย,765.82,426.17,426.17,284.59,13.00,-44.35,-44.35,-33.22,0.01,0.01,0.01,0.00
  -  บอสเนียและเฮอร์เซโกวีนา,283.03,260.41,260.41,276.15,28.51,-7.99,-7.99,6.05,0.00,0.00,0.00,0.00
  -  มาซิโดเนีย,61.96,139.46,139.46,258.07,-45.79,125.07,125.07,85.06,0.00,0.00,0.00,0.00
  -  กวม,319.89,291.21,291.21,254.63,-16.80,-8.96,-8.96,-12.56,0.00,0.00,0.00,0.00
  -  อาร์เมเนีย,219.48,206.92,206.92,221.86,79.06,-5.72,-5.72,7.22,0.00,0.00,0.00,0.00
  -  อิเควทอเรียลกินี,274.12,334.06,334.06,215.79,-28.00,21.86,21.86,-35.40,0.00,0.00,0.00,0.00
  -  ไอซ์แลนด์,252.63,175.07,175.07,212.97,11.26,-30.70,-30.70,21.65,0.00,0.00,0.00,0.00
  -  แอลเบเนีย,275.29,271.75,271.75,197.93,-5.53,-1.29,-1.29,-27.16,0.00,0.00,0.00,0.00
  -  หมู่เกาะเคย์แมน,121.24,84.79,84.79,195.13,33.81,-30.07,-30.07,130.13,0.00,0.00,0.00,0.00
  -  หมู่เกาะเคปเวิร์ด,219.37,170.99,170.99,172.97,-27.72,-22.06,-22.06,1.16,0.00,0.00,0.00,0.00
  -  รวันดา,140.07,111.39,111.39,165.12,40.54,-20.47,-20.47,48.22,0.00,0.00,0.00,0.00
  -  เบลารุส,183.19,163.77,163.77,160.00,-31.63,-10.60,-10.60,-2.30,0.00,0.00,0.00,0.00
  -  ลักเซมเบิร์ก,205.12,79.90,79.90,143.13,21.24,-61.05,-61.05,79.14,0.00,0.00,0.00,0.00
  -  คิวบา,119.62,131.07,131.07,137.68,-64.42,9.57,9.57,5.04,0.00,0.00,0.00,0.00
  -  หมู่เกาะมาร์แชล,"5,885.75",72.07,72.07,136.40,"5,356.47",-98.78,-98.78,89.27,0.08,0.00,0.00,0.00
  -  บาฮามาส,185.95,254.74,254.74,114.60,-7.44,36.99,36.99,-55.01,0.00,0.00,0.00,0.00
  -  โมนาโก,111.48,16.09,16.09,113.98,101.11,-85.57,-85.57,608.48,0.00,0.00,0.00,0.00
  -  ตองกา,74.08,86.01,86.01,111.30,-12.24,16.10,16.10,29.40,0.00,0.00,0.00,0.00
  -  เติร์กเมนิสถาน,70.83,40.78,40.78,109.56,25.58,-42.42,-42.42,168.64,0.00,0.00,0.00,0.00
  -  แอนติกัวและบาร์บูดา,152.60,62.30,62.30,105.58,9.78,-59.17,-59.17,69.47,0.00,0.00,0.00,0.00
  -  เกรเนดา,105.76,75.65,75.65,104.35,-21.23,-28.47,-28.47,37.93,0.00,0.00,0.00,0.00
